strategy,parameter,metric,spearman_rho,abs_spearman_rho,sensitivity_status
flat,attenuation_scale,minimum_gsnr_db,-1.0,1.0,ok
flat,attenuation_scale,minimum_ngmi,-1.0,1.0,ok
flat,attenuation_scale,working_fraction,,,constant_metric
flat,attenuation_scale,air_tbps,-1.0,1.0,ok
flat,attenuation_scale,thresholded_net_capacity_tbps,,,constant_metric
flat,attenuation_scale,working_fraction_S,,,constant_metric
flat,attenuation_scale,working_fraction_C,,,constant_metric
flat,attenuation_scale,working_fraction_L,,,constant_metric
flat,gamma_scale,minimum_gsnr_db,0.0,0.0,ok
flat,gamma_scale,minimum_ngmi,0.0,0.0,ok
flat,gamma_scale,working_fraction,,,constant_metric
flat,gamma_scale,air_tbps,0.0,0.0,ok
flat,gamma_scale,thresholded_net_capacity_tbps,,,constant_metric
flat,gamma_scale,working_fraction_S,,,constant_metric
flat,gamma_scale,working_fraction_C,,,constant_metric
flat,gamma_scale,working_fraction_L,,,constant_metric
flat,dispersion_scale,minimum_gsnr_db,-0.39999999999999997,0.39999999999999997,ok
flat,dispersion_scale,minimum_ngmi,-0.39999999999999997,0.39999999999999997,ok
flat,dispersion_scale,working_fraction,,,constant_metric
flat,dispersion_scale,air_tbps,-0.39999999999999997,0.39999999999999997,ok
flat,dispersion_scale,thresholded_net_capacity_tbps,,,constant_metric
flat,dispersion_scale,working_fraction_S,,,constant_metric
flat,dispersion_scale,working_fraction_C,,,constant_metric
flat,dispersion_scale,working_fraction_L,,,constant_metric
flat,noise_figure_offset_db,minimum_gsnr_db,-0.39999999999999997,0.39999999999999997,ok
flat,noise_figure_offset_db,minimum_ngmi,-0.39999999999999997,0.39999999999999997,ok
flat,noise_figure_offset_db,working_fraction,,,constant_metric
flat,noise_figure_offset_db,air_tbps,-0.39999999999999997,0.39999999999999997,ok
flat,noise_figure_offset_db,thresholded_net_capacity_tbps,,,constant_metric
flat,noise_figure_offset_db,working_fraction_S,,,constant_metric
flat,noise_figure_offset_db,working_fraction_C,,,constant_metric
flat,noise_figure_offset_db,working_fraction_L,,,constant_metric
flat,raman_gain_scale,minimum_gsnr_db,-0.7999999999999999,0.7999999999999999,ok
flat,raman_gain_scale,minimum_ngmi,-0.7999999999999999,0.7999999999999999,ok
flat,raman_gain_scale,working_fraction,,,constant_metric
flat,raman_gain_scale,air_tbps,-0.7999999999999999,0.7999999999999999,ok
flat,raman_gain_scale,thresholded_net_capacity_tbps,,,constant_metric
flat,raman_gain_scale,working_fraction_S,,,constant_metric
flat,raman_gain_scale,working_fraction_C,,,constant_metric
flat,raman_gain_scale,working_fraction_L,,,constant_metric
flat,pump_power_scale,minimum_gsnr_db,0.7999999999999999,0.7999999999999999,ok
flat,pump_power_scale,minimum_ngmi,0.7999999999999999,0.7999999999999999,ok
flat,pump_power_scale,working_fraction,,,constant_metric
flat,pump_power_scale,air_tbps,0.7999999999999999,0.7999999999999999,ok
flat,pump_power_scale,thresholded_net_capacity_tbps,,,constant_metric
flat,pump_power_scale,working_fraction_S,,,constant_metric
flat,pump_power_scale,working_fraction_C,,,constant_metric
flat,pump_power_scale,working_fraction_L,,,constant_metric
flat,transceiver_snr_offset_db,minimum_gsnr_db,-0.39999999999999997,0.39999999999999997,ok
flat,transceiver_snr_offset_db,minimum_ngmi,-0.39999999999999997,0.39999999999999997,ok
flat,transceiver_snr_offset_db,working_fraction,,,constant_metric
flat,transceiver_snr_offset_db,air_tbps,-0.39999999999999997,0.39999999999999997,ok
flat,transceiver_snr_offset_db,thresholded_net_capacity_tbps,,,constant_metric
flat,transceiver_snr_offset_db,working_fraction_S,,,constant_metric
flat,transceiver_snr_offset_db,working_fraction_C,,,constant_metric
flat,transceiver_snr_offset_db,working_fraction_L,,,constant_metric
fixed,attenuation_scale,minimum_gsnr_db,-0.7999999999999999,0.7999999999999999,ok
fixed,attenuation_scale,minimum_ngmi,-0.7999999999999999,0.7999999999999999,ok
fixed,attenuation_scale,working_fraction,,,constant_metric
fixed,attenuation_scale,air_tbps,-0.7999999999999999,0.7999999999999999,ok
fixed,attenuation_scale,thresholded_net_capacity_tbps,,,constant_metric
fixed,attenuation_scale,working_fraction_S,,,constant_metric
fixed,attenuation_scale,working_fraction_C,,,constant_metric
fixed,attenuation_scale,working_fraction_L,,,constant_metric
fixed,gamma_scale,minimum_gsnr_db,-0.6000000000000001,0.6000000000000001,ok
fixed,gamma_scale,minimum_ngmi,-0.6000000000000001,0.6000000000000001,ok
fixed,gamma_scale,working_fraction,,,constant_metric
fixed,gamma_scale,air_tbps,-0.6000000000000001,0.6000000000000001,ok
fixed,gamma_scale,thresholded_net_capacity_tbps,,,constant_metric
fixed,gamma_scale,working_fraction_S,,,constant_metric
fixed,gamma_scale,working_fraction_C,,,constant_metric
fixed,gamma_scale,working_fraction_L,,,constant_metric
fixed,dispersion_scale,minimum_gsnr_db,-0.7999999999999999,0.7999999999999999,ok
fixed,dispersion_scale,minimum_ngmi,-0.7999999999999999,0.7999999999999999,ok
fixed,dispersion_scale,working_fraction,,,constant_metric
fixed,dispersion_scale,air_tbps,-0.7999999999999999,0.7999999999999999,ok
fixed,dispersion_scale,thresholded_net_capacity_tbps,,,constant_metric
fixed,dispersion_scale,working_fraction_S,,,constant_metric
fixed,dispersion_scale,working_fraction_C,,,constant_metric
fixed,dispersion_scale,working_fraction_L,,,constant_metric
fixed,noise_figure_offset_db,minimum_gsnr_db,-0.7999999999999999,0.7999999999999999,ok
fixed,noise_figure_offset_db,minimum_ngmi,-0.7999999999999999,0.7999999999999999,ok
fixed,noise_figure_offset_db,working_fraction,,,constant_metric
fixed,noise_figure_offset_db,air_tbps,-0.7999999999999999,0.7999999999999999,ok
fixed,noise_figure_offset_db,thresholded_net_capacity_tbps,,,constant_metric
fixed,noise_figure_offset_db,working_fraction_S,,,constant_metric
fixed,noise_figure_offset_db,working_fraction_C,,,constant_metric
fixed,noise_figure_offset_db,working_fraction_L,,,constant_metric
fixed,raman_gain_scale,minimum_gsnr_db,-0.39999999999999997,0.39999999999999997,ok
fixed,raman_gain_scale,minimum_ngmi,-0.39999999999999997,0.39999999999999997,ok
fixed,raman_gain_scale,working_fraction,,,constant_metric
fixed,raman_gain_scale,air_tbps,-0.39999999999999997,0.39999999999999997,ok
fixed,raman_gain_scale,thresholded_net_capacity_tbps,,,constant_metric
fixed,raman_gain_scale,working_fraction_S,,,constant_metric
fixed,raman_gain_scale,working_fraction_C,,,constant_metric
fixed,raman_gain_scale,working_fraction_L,,,constant_metric
fixed,pump_power_scale,minimum_gsnr_db,1.0,1.0,ok
fixed,pump_power_scale,minimum_ngmi,1.0,1.0,ok
fixed,pump_power_scale,working_fraction,,,constant_metric
fixed,pump_power_scale,air_tbps,1.0,1.0,ok
fixed,pump_power_scale,thresholded_net_capacity_tbps,,,constant_metric
fixed,pump_power_scale,working_fraction_S,,,constant_metric
fixed,pump_power_scale,working_fraction_C,,,constant_metric
fixed,pump_power_scale,working_fraction_L,,,constant_metric
fixed,transceiver_snr_offset_db,minimum_gsnr_db,-0.19999999999999998,0.19999999999999998,ok
fixed,transceiver_snr_offset_db,minimum_ngmi,-0.19999999999999998,0.19999999999999998,ok
fixed,transceiver_snr_offset_db,working_fraction,,,constant_metric
fixed,transceiver_snr_offset_db,air_tbps,-0.19999999999999998,0.19999999999999998,ok
fixed,transceiver_snr_offset_db,thresholded_net_capacity_tbps,,,constant_metric
fixed,transceiver_snr_offset_db,working_fraction_S,,,constant_metric
fixed,transceiver_snr_offset_db,working_fraction_C,,,constant_metric
fixed,transceiver_snr_offset_db,working_fraction_L,,,constant_metric
adaptive,attenuation_scale,minimum_gsnr_db,-0.7999999999999999,0.7999999999999999,ok
adaptive,attenuation_scale,minimum_ngmi,-0.7999999999999999,0.7999999999999999,ok
adaptive,attenuation_scale,working_fraction,,,constant_metric
adaptive,attenuation_scale,air_tbps,-0.39999999999999997,0.39999999999999997,ok
adaptive,attenuation_scale,thresholded_net_capacity_tbps,,,constant_metric
adaptive,attenuation_scale,working_fraction_S,,,constant_metric
adaptive,attenuation_scale,working_fraction_C,,,constant_metric
adaptive,attenuation_scale,working_fraction_L,,,constant_metric
adaptive,gamma_scale,minimum_gsnr_db,-0.6000000000000001,0.6000000000000001,ok
adaptive,gamma_scale,minimum_ngmi,-0.6000000000000001,0.6000000000000001,ok
adaptive,gamma_scale,working_fraction,,,constant_metric
adaptive,gamma_scale,air_tbps,-0.7999999999999999,0.7999999999999999,ok
adaptive,gamma_scale,thresholded_net_capacity_tbps,,,constant_metric
adaptive,gamma_scale,working_fraction_S,,,constant_metric
adaptive,gamma_scale,working_fraction_C,,,constant_metric
adaptive,gamma_scale,working_fraction_L,,,constant_metric
adaptive,dispersion_scale,minimum_gsnr_db,-0.7999999999999999,0.7999999999999999,ok
adaptive,dispersion_scale,minimum_ngmi,-0.7999999999999999,0.7999999999999999,ok
adaptive,dispersion_scale,working_fraction,,,constant_metric
adaptive,dispersion_scale,air_tbps,-1.0,1.0,ok
adaptive,dispersion_scale,thresholded_net_capacity_tbps,,,constant_metric
adaptive,dispersion_scale,working_fraction_S,,,constant_metric
adaptive,dispersion_scale,working_fraction_C,,,constant_metric
adaptive,dispersion_scale,working_fraction_L,,,constant_metric
adaptive,noise_figure_offset_db,minimum_gsnr_db,-0.7999999999999999,0.7999999999999999,ok
adaptive,noise_figure_offset_db,minimum_ngmi,-0.7999999999999999,0.7999999999999999,ok
adaptive,noise_figure_offset_db,working_fraction,,,constant_metric
adaptive,noise_figure_offset_db,air_tbps,-1.0,1.0,ok
adaptive,noise_figure_offset_db,thresholded_net_capacity_tbps,,,constant_metric
adaptive,noise_figure_offset_db,working_fraction_S,,,constant_metric
adaptive,noise_figure_offset_db,working_fraction_C,,,constant_metric
adaptive,noise_figure_offset_db,working_fraction_L,,,constant_metric
adaptive,raman_gain_scale,minimum_gsnr_db,-0.39999999999999997,0.39999999999999997,ok
adaptive,raman_gain_scale,minimum_ngmi,-0.39999999999999997,0.39999999999999997,ok
adaptive,raman_gain_scale,working_fraction,,,constant_metric
adaptive,raman_gain_scale,air_tbps,-0.19999999999999998,0.19999999999999998,ok
adaptive,raman_gain_scale,thresholded_net_capacity_tbps,,,constant_metric
adaptive,raman_gain_scale,working_fraction_S,,,constant_metric
adaptive,raman_gain_scale,working_fraction_C,,,constant_metric
adaptive,raman_gain_scale,working_fraction_L,,,constant_metric
adaptive,pump_power_scale,minimum_gsnr_db,1.0,1.0,ok
adaptive,pump_power_scale,minimum_ngmi,1.0,1.0,ok
adaptive,pump_power_scale,working_fraction,,,constant_metric
adaptive,pump_power_scale,air_tbps,0.7999999999999999,0.7999999999999999,ok
adaptive,pump_power_scale,thresholded_net_capacity_tbps,,,constant_metric
adaptive,pump_power_scale,working_fraction_S,,,constant_metric
adaptive,pump_power_scale,working_fraction_C,,,constant_metric
adaptive,pump_power_scale,working_fraction_L,,,constant_metric
adaptive,transceiver_snr_offset_db,minimum_gsnr_db,-0.19999999999999998,0.19999999999999998,ok
adaptive,transceiver_snr_offset_db,minimum_ngmi,-0.19999999999999998,0.19999999999999998,ok
adaptive,transceiver_snr_offset_db,working_fraction,,,constant_metric
adaptive,transceiver_snr_offset_db,air_tbps,0.39999999999999997,0.39999999999999997,ok
adaptive,transceiver_snr_offset_db,thresholded_net_capacity_tbps,,,constant_metric
adaptive,transceiver_snr_offset_db,working_fraction_S,,,constant_metric
adaptive,transceiver_snr_offset_db,working_fraction_C,,,constant_metric
adaptive,transceiver_snr_offset_db,working_fraction_L,,,constant_metric
